state,nutrient,claim_text,threshold,threshold_100kcal,threshold_rdi,threshold_rdi_100kcal,condition,special_rule,saturate_fat_energy<=10%Energy
solid,โฟเลต,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,วิตามินบี12,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,วิตามินซี,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,แคลเซียม,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,ฟอสฟอรัส,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,แมกนีเซียม,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,เหล็ก,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,ไอโอดีน,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,สังกะสี,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,ซีลีเนียม,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,ทองแดง,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,แมงกานีส,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,โมลิบดีนัม,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,โครเมียม,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,โพแทสเซียม,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,คลอไรด์,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
liquid,วิตามินเอ,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,วิตามินดี,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,วิตามินอี,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,วิตามินเค,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,วิตามินบี1/ไทอามีน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,วิตามินบี2/ไรโบฟลาวิน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,ไนอะซิน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,กรดแพนโททีนิก,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,วิตามินบี6,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,ไบโอติน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,โฟเลต,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,วิตามินบี12,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,วิตามินซี,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,แคลเซียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,ฟอสฟอรัส,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,แมกนีเซียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,เหล็ก,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,ไอโอดีน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,สังกะสี,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,ซีลีเนียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,ทองแดง,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,แมงกานีส,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,โมลิบดีนัม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,โครเมียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,โพแทสเซียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,คลอไรด์,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=7.5,>=5,2,,
liquid,วิตามินเอ,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,วิตามินดี,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,วิตามินอี,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,วิตามินเค,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,วิตามินบี1/ไทอามีน,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,วิตามินบี2/ไรโบฟลาวิน,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,ไนอะซิน,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,กรดแพนโททีนิก,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,วิตามินบี6,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,ไบโอติน,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,โฟเลต,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,วิตามินบี12,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,วิตามินซี,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,แคลเซียม,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,ฟอสฟอรัส,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,แมกนีเซียม,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,เหล็ก,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,ไอโอดีน,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,สังกะสี,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,ซีลีเนียม,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,ทองแดง,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,แมงกานีส,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,โมลิบดีนัม,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,โครเมียม,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,โพแทสเซียม,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
liquid,คลอไรด์,"สูง, อุดม (high, rich in, excellent source of)",,,>=15,>=10,2,,
